,,,,
Precinct,Location,Address,Latitude,Longitude
R043,Croissant Park Elementary School,1800 SW 4th AveFort Lauderdale FL 33315,26.099041,-80.145252
R044,First Christian Church,201 SE 13th StFort Lauderdale FL 33316,26.106576,-80.140634
R045,Plumbers Local Union #719,2502 S Andrews AveFort Lauderdale FL 33316,26.091385,-80.139934
R046,Coral Ridge Mall - NE Entrance,3200 N Federal HWYFort Lauderdale FL 33306,26.168998,-80.115805
R047,Whiddon Rogers Education Center,700 SW 26th StFort Lauderdale FL 33315,26.090532,-80.150089
R048,Le Tabernacle De La Grace,3040 SW 11th Ct.Fort Lauderdale FL 33312,26.107643,-80.185545
R049,Riverland Elementary School,2600 SW 11th CtFort Lauderdale FL 33312,26.108926,-80.175969
R050,Le Tabernacle De La Grace,3040 SW 11th Ct.Fort Lauderdale FL 33312,26.107643,-80.185545
R051,Westwood Heights Elementary School,2861 SW 9th StFort Lauderdale FL 33312,26.111269,-80.182538
R052,Willow Wood,2855 W Commercial BlvdFort Lauderdale FL 33309,26.188342,-80.182151
R053,Department of Transportation,5548 NW 9th AveFort Lauderdale FL 33309,26.19497,-80.155186
R054,First Christian Church,201 SE 13th StFort Lauderdale FL 33316,26.106576,-80.140634
R055,St. Sebastian Catholic Church,2000 SE 25th AveFort Lauderdale FL 33316,26.096208,-80.112192
R056,Lauderdale Manors Community Center,1340 Chateau Park DrFort Lauderdale FL 33311,26.142851,-80.1602
R057,Warfield Park Recreation Center,1000 N Andrews AveFort Lauderdale FL 33311,26.137783,-80.14373
R058,Riverside Park,555 SW 11th Ave.Fort Lauderdale FL 33312,26.114415,-80.156334
R059,Ft. Lauderdale 7th Day Adventist Church,850 Davie BlvdFort Lauderdale FL 33315,26.106876,-80.152605
R060,Fort Lauderdale Fire Rescue,528 NW 2nd StFort Lauderdale FL 33311,26.12366,-80.149292
R061,Dayspring International Church of the Nazarene,2300 SW 15th AveFort Lauderdale FL 33315,26.093101,-80.159997
R062,Delevoe Park,2520 NW 6th StFort Lauderdale FL 33311,26.128351,-80.175514
R063,Melrose Park Community Center,3810 SW 2nd CtFort Lauderdale FL 33312,26.118176,-80.199602
